,Product_Name,Product_Title,Product_Description,Product_Ingredients,energy_kcal_Quantity,energy_kcal_100_g_per_product,energy_kcal_uom,energy_kcal_adultDV,energy_kcal_childDV,energy_kJ_Quantity,energy_kJ_100_g_per_product,energy_kJ_uom,energy_kJ_adultDV,energy_kJ_childDV,protein_Quantity,protein_100_g_per_product,protein_uom,protein_adultDV,protein_childDV,carbohydrate_Quantity,carbohydrate_100_g_per_product,carbohydrate_uom,carbohydrate_adultDV,carbohydrate_childDV,sugars_Quantity,sugars_100_g_per_product,sugars_uom,sugars_adultDV,sugars_childDV,fat_Quantity,fat_100_g_per_product,fat_uom,fat_adultDV,fat_childDV,saturated_fat_Quantity,saturated_fat_100_g_per_product,saturated_fat_uom,saturated_fat_adultDV,saturated_fat_childDV,fibre_Quantity,fibre_100_g_per_product,fibre_uom,fibre_adultDV,fibre_childDV,salt_Quantity,salt_100_g_per_product,salt_uom,salt_adultDV,salt_childDV
28,Happy Meal® Veggie Dippers - 2 pieces,{},{},"Red Pepper & Pesto Goujon Yellow Split Peas, Tomato, Breadcrumb (8%) (Rice Flour, Gram Flour, Maize Flour, Amaranth Flour, Maize Starch, Teff Flour, Salt, Dried Glucose Syrup,  Dextrose, Emulsifier (Mono- and Diglycerides of Fatty Acids)), Cooked Arborio Rice, Rice Flour, Sundried Tomato Pesto (7%) (Water, Sundried Tomato Puree (Water, Tomato, Salt), Tomato Paste, Red Wine Vinegar, Olive Oil (Refined Olive Oil, Extra Virgin Olive Oil), Basil, Red Onion, White Sugar, Garlic Puree,  Cornflour, Black Pepper), Red Pepper (7%), Water, Sunflower Oil, Maize Starch, Onion, Rapeseed Oil, Maize Flour, Basil, Garlic Puree,  Salt, Black Pepper, Thickener (Xanthan Gum).  Prepared in the restaurants using a non-hydrogenated vegetable oil..",160,234.6,kcal,8,{},670,982.4,kJ,8,{},3.3,4.8,g,7,{},20,29.3,g,8,{},1.2,1.8,g,1,{},6.6,9.7,g,9,{},0.7,1,g,3,{},3.0,4.4,g,,{},0.57,0.8,g,10,{}
29,Apple & Grape Fruit Bag,Apple & Grape Fruit Bag - Only 49p,McDonald's Apple & Grape Fruit Bag. Sweet grapes and delicious apple that are one of your five-a-day.,"Apple & Grape Fruit Bag 75% Apple, 25% Grape..",46,57.5,kcal,2,{},194,242.5,kJ,2,{},0.3,0.4,g,1,{},10,12.5,g,4,{},10,12.5,g,11,{},0.1,0.1,g,0,{},0.0,0,g,0,{},1.8,2.3,g,,{},0.00,0,g,0,{}
30,Maltesers®  McFlurry®,Maltesers® Reindeer McFlurry®,"Maltesers Reindeer McFlurry, soft dairy ice cream swirled with mini Malteaser Reindeer® shapes, mini Maltesers® clusters and a milk chocolate sauce.","Ice Cream EITHER: Allergen Ingredient:  Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Glucose Syrup, Stabilisers (Guar Gum, Carrageenan), Emulsifier (Mono- and Diglycerides of Fatty Acids), Flavouring.  OR: Allergen Ingredient: Reconstituted Skimmed MILK, Cream (Allergen Ingredient: MILK), Sugar, Allergen Ingredient:  MILK Protein, Glucose Syrup, Allergen Ingredient:  Skimmed MILK Powder, Stabilisers (Guar Gum, Carrageenan), Emulsifier (Mono- and Diglycerides of Fatty Acids), Flavouring., Maltesers Clusters Milk Chocolate (76%) (Sugar, Cocoa Butter, Allergen Ingredient:  Skimmed MILK Powder, Cocoa Mass, Lactose (from Allergen Ingredient:  MILK), Vegetable Fat (Palm), Whey Powder (from Allergen Ingredient:  MILK), Allergen Ingredient:  MILK Fat, Emulsifier Allergen Ingredient: SOYA Lecithin), Natural Vanilla Extract), Honeycomb Pieces (20%) (Glucose Syrup, Allergen Ingredient:  BARLEY Malt Extract, Allergen Ingredient:  Skimmed MILK Powder, Vegetable Fat (Palm), Allergen Ingredient:  WHEAT Flour, Sugar, Raising Agents (Calcium Phosphates, Sodium Carbonates, Potassium Carbonates), Allergen Ingredient:  WHEAT Gluten, Whey Powder (from Allergen Ingredient:  MILK), Salt), Cocoa Butter, Glazing Agent (Gum Arabic, Shellac), Sucrose, Glucose Syrup, Vegetable Oil (Coconut).  Potential Allergen Ingredient: NB: May also contain traces of oat..",283,174.7,kcal,14,{},1189,734,kJ,14,{},5.2,3.2,g,10,{},41,25.3,g,16,{},37,22.8,g,41,{},11,6.8,g,15,{},7.0,4.3,g,35,{},1.0,0.6,g,,{},0.26,0.2,g,4,{}
31,Smarties McFlurry®,{},{},"Ice Cream EITHER: Allergen Ingredient:  Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Glucose Syrup, Stabilisers (Guar Gum, Carrageenan), Emulsifier (Mono- and Diglycerides of Fatty Acids), Flavouring.  OR: Allergen Ingredient: Reconstituted Skimmed MILK, Cream (Allergen Ingredient: MILK), Sugar, Allergen Ingredient:  MILK Protein, Glucose Syrup, Allergen Ingredient:  Skimmed MILK Powder, Stabilisers (Guar Gum, Carrageenan), Emulsifier (Mono- and Diglycerides of Fatty Acids), Flavouring., Smarties Mini EITHER: Sugar, Cocoa Butter, Allergen Ingredient:  Skimmed MILK Powder, Cocoa Mass, Allergen Ingredient:  WHEAT Flour, Butter Fat (from Allergen Ingredient:  MILK), Lactose and Proteins from Whey (from Allergen Ingredient:  MILK), Whey Powder (from Allergen Ingredient:  MILK), Rice Starch, Emulsifier (Sunflower Lecithin), Fruit and Vegetable Concentrates (Safflower, Radish, Black Carrot, Lemon, Hibiscus), Colours (Beetroot Red, Beta Carotene, Curcumin), Spirulina Concentrate, Glazing Agents (Carnauba Wax, Beeswax White), Allergen Ingredient:  BARLEY Malt Extract, Flavourings.  OR: Sugar, Cocoa Butter, Allergen Ingredient:  Skimmed MILK Powder, Cocoa Mass, Butterfat (from Allergen Ingredient:  MILK), Allergen Ingredient:  WHEAT Flour, Lactose and Proteins from Whey (from Allergen Ingredient:  MILK), Rice Starch, Emulsifier (Sunflower Lecithin), Fruit and Vegetable Concentrates (Safflower, Radish, Black Carrot, Lemon, Hibiscus), Spirulina Concentrate, Glazing Agents (Carnuba Wax, Beeswax White), Natural Vanilla Flavouring.  Potential Allergen Ingredient: N.B. May contain traces of soya..",280,172.8,kcal,14,{},1176,725.9,kJ,14,{},4.9,3,g,10,{},42,25.9,g,16,{},39,24.1,g,43,{},10,6.2,g,14,{},6.5,4,g,33,{},1.0,0.6,g,,{},0.23,0.1,g,4,{}
32,Oreo McFlurry (Regular),{},{},"Ice Cream EITHER: Allergen Ingredient:  Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Glucose Syrup, Stabilisers (Guar Gum, Carrageenan), Emulsifier (Mono- and Diglycerides of Fatty Acids), Flavouring.  OR: Allergen Ingredient: Reconstituted Skimmed MILK, Cream (Allergen Ingredient: MILK), Sugar, Allergen Ingredient:  MILK Protein, Glucose Syrup, Allergen Ingredient:  Skimmed MILK Powder, Stabilisers (Guar Gum, Carrageenan), Emulsifier (Mono- and Diglycerides of Fatty Acids), Flavouring., Oreo Crumb Allergen Ingredient: WHEAT Flour, Sugar, Rapeseed Oil, Fat Reduced Cocoa Powder (6.5%), Glucose-Fructose Syrup, Allergen Ingredient:  WHEAT Starch, Raising Agents (Potassium Carbonates, Ammonium Carbonates, Sodium Carbonates), Palm Oil, Salt, Emulsifier (Allergen Ingredient: SOYA Lecithin), Flavouring.  Potential Allergen Ingredient:  NB: May contain traces of milk..",267,166.9,kcal,13,{},1122,701.3,kJ,13,{},5.0,3.1,g,10,{},41,25.6,g,16,{},34,21.3,g,37,{},9.1,5.7,g,13,{},5.3,3.3,g,27,{},1.3,0.8,g,,{},0.31,0.2,g,5,{}
33,Buxton Mineral Water (Still),Buxton® Mineral Water - Cold Drinks,McDonald's Buxton® Mineral Water. Perfectly refreshing mineral water from the heart of the Peak District. Great with your meal or on its own.,Buxton&reg; Natural Mineral Water Natural Mineral Water..,0,0,kcal,0,{},0,0,kJ,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.00,0,g,0,{}
34,Buxton Mineral Water (Still) - 250ml,Buxton® Mineral Water - Cold Drinks,McDonald's Buxton® Mineral Water. Perfectly refreshing mineral water from the heart of the Peak District. Great with your meal or on its own.,Buxton&reg; Natural Mineral Water Natural Mineral Water..,0,0,kcal,0,{},0,0,kJ,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.00,0,g,0,{}
35,Chocolate Milkshake Medium,Chocolate Milkshake,"McDonald's Chocolate Milkshake. Using milk from UK dairies, our Chocolate McDonald's Milkshake is indulgence in a cup.","Milkshake Base EITHER: Allergen Ingredient: Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Glucose Syrup, Stabilisers (Guar Gum, Carrageenan, Carob Gum).  OR: Allergen Ingredient: Reconstituted Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Allergen Ingredient:  Skimmed MILK Powder, Glucose Syrup, Stabilisers (Guar Gum, Carrageenan, Locust Bean Gum), Natural Flavouring., Chocolate Flavour Milkshake Syrup Water, Glucose Syrup, Alkalised Fat Reduced Cocoa Powder (7%), Colour (Plain Caramel), Fructose Syrup, Caramel (Sugar, Glucose-Fructose Syrup, Water), Salt, Cocoa Mass (0.7%), Butter (Allergen Ingredient: MILK), Natural Flavourings, Acidity Regulators (Phosphoric Acid, Citric Acid), Emulsifier (Lecithins), Preservative (Potassium Sorbate)..",380,113.2,kcal,19,{},1603,477.3,kJ,19,{},10,3,g,20,{},66,19.7,g,25,{},47,14,g,52,{},8.2,2.4,g,12,{},5.4,1.6,g,27,{},1.8,0.5,g,,{},0.76,0.2,g,13,{}
36,Strawberry Milkshake Medium,Strawberry Milkshake,"McDonald's Strawberry Milkshake. Made with milk from UK dairies, strawberry McDonald's milkshake is a real treat.","Milkshake Base EITHER: Allergen Ingredient: Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Glucose Syrup, Stabilisers (Guar Gum, Carrageenan, Carob Gum).  OR: Allergen Ingredient: Reconstituted Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Allergen Ingredient:  Skimmed MILK Powder, Glucose Syrup, Stabilisers (Guar Gum, Carrageenan, Locust Bean Gum), Natural Flavouring., Strawberry Flavour Milkshake Syrup Water, Sugar, Glucose Syrup, Strawberry Juice Concentrate (1.6%), Beetroot Juice Concentrate, Acid (Citric Acid), Natural Flavouring, Preservative (Potassium Sorbate)..",379,112.9,kcal,19,{},1602,477.1,kJ,19,{},9.2,2.7,g,18,{},68,20.3,g,26,{},57,17,g,64,{},7.6,2.3,g,11,{},5.1,1.5,g,25,{},0.6,0.2,g,,{},0.43,0.1,g,7,{}
37,Banana Milkshake Medium,Banana Milkshake,"McDonald's Banana Milkshake. Our banana McDonald's milkshake is sweet, delicious and made with milk from UK dairies.","Milkshake Base EITHER: Allergen Ingredient: Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Glucose Syrup, Stabilisers (Guar Gum, Carrageenan, Carob Gum).  OR: Allergen Ingredient: Reconstituted Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Allergen Ingredient:  Skimmed MILK Powder, Glucose Syrup, Stabilisers (Guar Gum, Carrageenan, Locust Bean Gum), Natural Flavouring., Banana Flavour Milkshake Syrup Water, Sugar, Glucose Syrup, Natural Flavouring, Preservative (Potassium Sorbate), Acid (Citric Acid), Colour (Paprika Extract, Curcumin)..",386,114.7,kcal,19,{},1629,484.1,kJ,19,{},9.2,2.7,g,18,{},70,20.8,g,27,{},59,17.5,g,65,{},7.6,2.3,g,11,{},5.1,1.5,g,25,{},0.6,0.2,g,,{},0.43,0.1,g,7,{}
38,Vanilla Milkshake Medium,Vanilla Milkshake,"McDonald's Vanilla Milkshake. Deliciously thick, our vanilla McDonald's milkshake is made using milk from UK dairies.","Milkshake Base EITHER: Allergen Ingredient: Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Glucose Syrup, Stabilisers (Guar Gum, Carrageenan, Carob Gum).  OR: Allergen Ingredient: Reconstituted Skimmed MILK, Sugar, Cream (Allergen Ingredient: MILK), Allergen Ingredient:  Skimmed MILK Powder, Glucose Syrup, Stabilisers (Guar Gum, Carrageenan, Locust Bean Gum), Natural Flavouring., Vanilla Flavour Milkshake Syrup Water, Sugar, Caramelised Sugar Syrup, Natural Flavouring, Acid (Citric acid), Preservative (Potassium Sorbate), Black Carrot Juice Concentrate, Maltodextrin..",377,112.1,kcal,19,{},1591,473.2,kJ,19,{},9.2,2.7,g,18,{},68,20.2,g,26,{},59,17.5,g,66,{},7.5,2.2,g,11,{},5.1,1.5,g,25,{},0.6,0.2,g,,{},0.43,0.1,g,7,{}
39,Coca-Cola Medium,Coca-Cola® - Cold Drinks,"McDonald's Coca-Cola®. A classic taste, enjoy it with a meal or on its own as a refreshing drink.","Coca-Cola Carbonated Water, Sugar, Colour (Sulphite Ammonia Caramel), Phosphoric Acid, Flavourings (including Caffeine)..",170,42.5,kcal,9,{},721,180.3,kJ,9,{},0.0,0,g,0,{},42,10.5,g,16,{},42,10.5,g,47,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.00,0,g,0,{}
40,Diet Coke Medium,Diet Coke® - Cold Drinks,"McDonald's Diet Coke®. A lighter taste, with no calories or sugar. Enjoy one with your meal or on its own.","Diet Coke Carbonated Water, Colour (Caramel), Sweeteners (Aspartame*, Acesulfame K), Flavourings (including Caffeine), Phosphoric Acid, Citric Acid, Preservative (Sodium Benzoate), Acidity Regulator (Sodium Citrate), Anti-foaming Agent (Dimethyl Polysiloxane).  *contains a source of Phenylalanine..",1,0.3,kcal,0,{},6,1.5,kJ,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.07,0,g,1,{}
41,Sprite Zero Medium,Sprite® Zero - Cold Drinks,"McDonald's Sprite® Zero. The refreshing fizziness of Sprite® Zero, with no sugar or calories.","Sprite Zero&reg; Carbonated Water, Citric Acid, Flavourings, Sweeteners (Aspartame*, Acesulfame K), Preservative (Sodium Benzoate), Acidity Regulator (Sodium Citrate).  *contains a source of Phenylalanine..",4,1,kcal,0,{},20,5,kJ,0,{},0.1,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.05,0,g,1,{}
42,Fanta Orange Medium,Fanta® Orange - Cold Drinks,"McDonald's Fanta® Orange. Unlock the taste of delicious orange Fanta®, perfect with your meal or on its own.","Fanta Orange For UK except Northern Ireland:   Carbonated Water, Sugar, Orange Juice from Concentrate (1%), Citric Acid, Vegetable Concentrate (Carrot), Sweeteners (Acesulfame-K, Sucralose), Malic Acid, Preservatives (Potassium Sorbate, Sodium Benzoate), Natural Orange Flavourings with other Natural Flavourings, Acidity Regulator (Sodium Citrate), Antioxidant (Ascorbic Acid), Stabiliser (Guar Gum), Anti-Foaming Agent (Dimethylpolysiloxane).  For Northern Ireland only:  Carbonated Water, Sugar, Citric Acid, Malic Acid, Stabilisers (Acacia Gum, Sucrose Acetate Isobutyrate, Glycerol Esters of Wood Rosins), Sweeteners (Acesulfame K, Aspartame*), Acidity Regulator (Sodium Gluconate), Natural Orange Flavourings with Other Natural Flavourings, Antioxidant (Ascorbic Acid), Preservatives (Potassium Sorbate, Sodium Benzoate), Colour (Carotenes), Anti-Foaming Agent (Dimethylpolysiloxane).  *contains a source of Phenylalanine..",76,19,kcal,4,{},320,80,kJ,4,{},0.0,0,g,0,{},18,4.5,g,7,{},18,4.5,g,20,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.08,0,g,1,{}
43,Oasis Medium,Oasis® - Cold Drinks,McDonald's Oasis®. A deliciously fruity Oasis® drink to enjoy with your meal or on the go.,"Oasis&reg; Water, Sugar, Fruit Juices From Concentrate 5% (Apple 1.7%, Strawberry 1.5%, Redcurrant 1.2%, Cherry 0.6%), Citric Acid, Natural Berry Flavouring with Other Natural Flavourings, Fruit and Vegetable  Concentrates (Blueberry, Blackcurrant, Carrot, Apple, Hibiscus), Stabiliser (Polyphosphates), Acidity Regulator (Sodium Citrate), Preservatives (Potassium Sorbate, Sodium Benzoate), Sweeteners  (Aspartame*, Acesulfame K).  *contains a source of Phenylalanine..",67,16.8,kcal,3,{},283,70.8,kJ,3,{},0.1,0,g,0,{},17,4.3,g,6,{},17,4.3,g,18,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.32,0.1,g,5,{}
44,Coca-Cola Zero Sugar Medium,Coke Zero - Coca-Cola®,"McDonald's Coca-Cola® Zero Sugar. Zero calories, zero sugar, same great Coca-Cola® taste.","Coca-Cola Zero Sugar Carbonated Water, Colour (Caramel), Phosphoric Acid, Sweeteners (Aspartame*, Acesulfame K), Flavourings (including Caffeine), Acidity Regulator (Sodium Citrate), Preservative (Sodium Benzoate), Anti-Foaming Agent (Dimethyl Polysiloxane).  *contains a source of Phenylalanine..",1,0.3,kcal,0,{},6,1.5,kJ,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.10,0,g,2,{}
45,Tropicana Orange Juice,Tropicana® Orange Juice - Deliciously Fruity,McDonald's Orange Juice. A little bottle of pure Tropicana® orange juice.,Tropicana Orange Juice 100% Pure Unsweetened Orange Juice (not from concentrate)..,108,43.2,kcal,5,{},455,182,kJ,5,{},2.0,0.8,g,4,{},22,8.8,g,9,{},22,8.8,g,25,{},0.0,0,g,0,{},0.0,0,g,0,{},1.5,0.6,g,,{},0.00,0,g,0,{}
46,Robinsons Fruit Shoot,Robinsons® Fruit Shoot - Cold Drinks,McDonald's Robinsons® Fruit Shoot. This apple and blackcurrant-flavoured drink is great with a meal or on the go.,"Low Calorie Apple & Blackcurrant Soft Drink Water, Fruit Juices from Concentrate (Apple 6%, Blackcurrant 2%, Plum), Acid (Citric Acid), Natural Colour (Anthocyanins), Natural Flavouring, Preservatives (Potassium Sorbate, Dimethyl Dicarbonate), Acidity Regulator (Sodium Citrate), Antioxidant (Ascorbic Acid), Sweeteners (Acesulfame K, Sucralose), Vitamins (Niacin, B6, Biotin)..",10,5,kcal,1,{},40,20,kJ,1,{},0.0,0,g,0,{},1.6,0.8,g,1,{},1.6,0.8,g,2,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.06,0,g,1,{}
47,Organic Milk,Organic Milk - Cold Drinks,"McDonald's Milk. Sourced from UK dairies our organic, semi-skimmed milk is great on its own, or as part of the kids' Happy Meal®.",Milk Allergen Ingredient:  100% Organic Semi-Skimmed MILK..,125,50,kcal,6,{},524,209.6,kJ,6,{},9.0,3.6,g,18,{},12,4.8,g,5,{},12,4.8,g,13,{},4.5,1.8,g,6,{},2.8,1.1,g,14,{},0.0,0,g,,{},0.28,0.1,g,5,{}
48,Flat White,Flat White,The flat white a double shot of espresso blended with steamed and slightly frothed organic milk.,"Milk Allergen Ingredient:  100% Organic Semi-Skimmed MILK., Coffee 100% Roasted Coffee Beans, Water.  Made using 100% Arabica coffee beans, grown on Rainforest Alliance Certified&#8482; farms.  Potential Allergen Ingredient: N.B. May contain traces of milk..",86,37.3,kcal,4,{},362,157.2,kJ,4,{},6.3,2.7,g,13,{},8.4,3.6,g,3,{},8.2,3.6,g,9,{},3.1,1.3,g,4,{},1.9,0.8,g,9,{},0.0,0,g,,{},0.19,0.1,g,3,{}
49,Tea (Regular),Tea - Part of the McCafé® Range,McDonald's Tea. PG tips with or without organic semi-skimmed milk. Because there are few things a nice cup of tea can’t make better.,"Tea Blended Black Tea, Water.  Potential Allergen Ingredient: N.B. May contain traces of milk., Milk Allergen Ingredient:  100% Semi-Skimmed MILK..",6,2.1,kcal,0,{},26,9.1,kJ,0,{},0.4,0.1,g,1,{},0.8,0.3,g,0,{},0.5,0.2,g,1,{},0.2,0.1,g,0,{},0.1,0,g,1,{},0.0,0,g,,{},0.01,0,g,0,{}
50,Double Espresso,Double Espresso - 100% Arabica Bean Coffee,McDonald's Double Espresso. A double shot of coffee made from freshly ground 100% Arabica beans.,"Coffee 100% Roasted Coffee Beans, Water.  Made using 100% Arabica coffee beans, grown on Rainforest Alliance Certified&#8482; farms..",1,1.7,kcal,0,{},5,8.3,kJ,0,{},0.1,0.2,g,0,{},0.2,0.3,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.00,0,g,0,{}
51,Hot Chocolate Regular,Hot Chocolate - Festive McCafé Range,"Deliciously warming, this is a silky smooth treat made with a rich, chocolatey syrup. Comfort in a cup. Click here to find out more.","Hot Water Water., Chocolatey Syrup Sugar, Allergen Ingredient:  Skimmed MILK, 10% Fat Reduced Cocoa, Vegetable Oil (Palm), Whey Powder (Allergen Ingredient: MILK), Salt, Stabiliser (Trisodium Citrate), Flavouring, Emulsifier (Allergen Ingredient: SOYA Lecithin)..",173,55.8,kcal,9,{},727,234.5,kJ,9,{},2.2,0.7,g,4,{},30,9.7,g,12,{},27,8.7,g,29,{},4.3,1.4,g,6,{},2.2,0.7,g,11,{},2.3,0.7,g,,{},0.57,0.2,g,10,{}
52,Latte Regular,Latte - 100% Arabica Bean Coffee,"McDonald's Latte. A large shot of McCafé® Arabica bean espresso mixed with organic, semi-skimmed milk from UK dairies.","Milk Allergen Ingredient:  100% Organic Semi-Skimmed MILK., Coffee 100% Roasted Coffee Beans, Water.   Made using 100% Arabica coffee beans grown on Rainforest Alliance Certified farms.  Potential Allergen Ingredient: N.B. May contain traces of milk..",142,41.8,kcal,7,{},596,175.3,kJ,7,{},11,3.2,g,21,{},13,3.8,g,5,{},13,3.8,g,15,{},5.0,1.5,g,7,{},3.1,0.9,g,15,{},0.0,0,g,,{},0.33,0.1,g,5,{}
53,Cappuccino Regular,Cappuccino - 100% Arabica Bean Coffee,"McDonald's Cappuccino. A large shot of McCafé® Arabica bean espresso with steamed organic semi-skimmed milk, topped with a chocolatey dusting.","Milk Allergen Ingredient:  100% Organic Semi-Skimmed MILK., Coffee 100% Roasted Coffee Beans, Water.  Made using 100% Arabica coffee beans, grown on Rainforest Alliance Certified&#8482; farms., Chocolatey Powder Sugar, Cocoa, Salt, Flavourings.  Potential Allergen Ingredient:  N.B. May contain traces of milk..",94,40.5,kcal,5,{},395,170.3,kJ,5,{},6.4,2.8,g,13,{},9.9,4.3,g,4,{},9.6,4.1,g,11,{},3.2,1.4,g,5,{},2.0,0.9,g,10,{},0.2,0.1,g,,{},0.19,0.1,g,3,{}
54,Black Coffee Regular,Black Coffee - 100% Arabica beans,McDonald's black coffee is made with freshly ground Arabica beans from Rainforest Alliance Certified Farms™ and blended with hot water.,"Coffee 100% Roasted Coffee Beans, Water.  Made using 100% Arabica coffee beans, grown on Rainforest Alliance Certified&#8482; farms.  Potential Allergen Ingredient: N.B. May contain traces of milk..",6,2.2,kcal,0,{},23,8.4,kJ,0,{},0.6,0.2,g,1,{},0.8,0.3,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,0,{},0.0,0,g,,{},0.01,0,g,0,{}
55,White Coffee Regular,White Coffee - 100% Arabica Bean Coffee,McDonald's White Coffee. A large shot of McCafé® Arabica bean espresso blended with organic semi-skimmed milk and hot water.,"Coffee 100% Roasted Coffee Beans, Water.  Made using 100% Arabica coffee beans, grown on Rainforest Alliance Certified&#8482; farms., Milk Allergen Ingredient:  100% Organic Semi-Skimmed MILK..",30,9.2,kcal,2,{},128,39.4,kJ,2,{},2.4,0.7,g,5,{},3.2,1,g,1,{},2.4,0.7,g,3,{},0.9,0.3,g,1,{},0.6,0.2,g,3,{},0.0,0,g,,{},0.06,0,g,1,{}
